KEY VARIABLE,VARIABLE ID,Stock Preparation,Refining,Wet End,Press,Drying,Others,Quality,Cost,Production,ACCEPTABLE RANGE LOW END,ACCEPTABLE RANGE HIGH END,DEFINITION,Unit of Measure
Machine Speed | DRV39,MM001,,,Wet End,Press,Drying,,Quality,Cost,Production,"2,312.00","2,598.00","The speed at which the paper machine operates, measured in feet per minute (FPM). It directly influences production rates, product quality, and profitability. Optimal speed depends on factors like moisture levels, refining, and drying capacity. The machine is designed for up to 2500 FPM but has occasionally reached 2600 FPM.",FPM
Production Rate TPH,MM002,Stock Preparation,,Wet End,Press,Drying,,,Cost,Production,32.00,35.20,"The tons of paper produced per hour, dependent on reel speed, basis weight, and paper width. It influences steam, chemical, and water consumption, impacting profitability. Typically, production is maintained between 30-35 TPH, with a focus on optimizing drying efficiency to increase throughput.",TPH
Now BW | FR1_BW1_CURV:ROUT,MM003,,,,,,Others,Quality,,,21.50,24.00,"The weight of paper measured in pounds per thousand square feet, including moisture content (typically 8%). Higher basis weight reduces speed due to limited drying capacity. It is controlled via a feedback loop and machine chest pump to maintain optimal sheet strength while maximizing production efficiency.",lbs/MSF
3rd Dryer Section Pressure Control | PIC-2367-120,MM004,,,,,Drying,,,Cost,Production,61.40,82.60,"Regulates steam pressure in the third dryer section, affecting drying efficiency and paper quality. Controlled automatically based on moisture set points from the QCS scanner, ensuring optimal drying without exceeding safety limits (max 72 psi). Lowering pressure can improve machine speed while maintaining sheet integrity.",psi
TAPPI Drying Rate-32 Cans,MM005,,,,,Drying,,,,Production,5.50,6.20,"Measures the efficiency of water evaporation from the drying cans, calculated in pounds of water evaporated per square foot per hour. An ideal target is 6.0 lbs/sqft-hr. Drying efficiency depends on refining, drainage, and press section water removal, with cleanliness of dryer surfaces also playing a crucial role.",lb/hr/sqft
Stock Storage Tower Level Indication | LI-2180-101,MM006,Stock Preparation,,,,,,,,Production,45.40,86.60,"Indicates the stock preparation system's stability, with levels ideally maintained above 70%. Fluctuations reflect changes in machine speed or stock preparation issues. Consistent levels ensure smooth mill operations, preventing unnecessary water loss and maintaining stock quality.",%
Stock Production | TPH (TPH),MM007,Stock Preparation,,,,,,,,Production,19.70,43.50,"Measures the tonnage of stock processed per hour, calculated from pulper dump pump consistency and cleaner accept flows. Influences overall mill production, requiring proper bale loading and pump maintenance. Stable stock production is essential for maintaining machine efficiency and paper quality.",TPH
Primary Coarse Screen Accepts Flow Control | FFIC-2024-112,MM008,Stock Preparation,,,,,,,,Production,"2,641.00","4,854.00","Regulates stock flow from the primary coarse screen, influencing up to 65% of production. Controlled by differential pressure between inlet and accept flow, ensuring efficient separation of contaminants. Optimal flow is maintained around 3750 GPM to support smooth mill operation.",GPM
Secondary Coarse Screen Accepts Flow | FI-2017-203B,MM009,Stock Preparation,,,,,,,,Production,948.00,"1,933.00","Handles approximately 35% of stock production, influencing overall stock storage levels. Governed by feed pressure and differential pressure, with reject handling crucial to preventing blockages. Proper dilution and feed pump control are essential for maintaining steady stock preparation rates.",GPM
SEC For Refiners (New),MM010,,Refining,,,,,Quality,,Production,12.80,39.70,"Measures the specific energy consumption (SEC) in refining, impacting fiber structure and sheet strength. Optimal SEC is between 22-26 kWh/ton, balancing fiber fibrillation and energy efficiency. Over-refining can degrade sheet quality and increase steam consumption due to excessive fines.",kWh/ton
Refiner recirc %,MM011,,Refining,,,,,Quality,,Production,3.40,21.90,"Represents the proportion of refined stock recirculated back to the refiner feed pump. Kept below 10% to prevent drainage issues, excessive steam consumption, and machine slowdowns. Initially maintained at 17-20%, but later optimized to 8-10% for improved efficiency.",%
